ip,City,Region,Country,Latitude,Longitude
223.244.247.0,Rongcheng,Anhui,China,30.6007,117.925
221.229.74.0,Nanjing,Jiangsu,China,32.0589,118.7738
119.108.45.0,Shenyang,Liaoning,China,41.8057,123.431
106.14.123.0,Shanghai,Shanghai,China,31.2222,121.4581
47.123.0.0,Shanghai,Shanghai,China,31.2222,121.4581
223.104.66.0,Guangzhou,Guangdong,China,23.1181,113.2539
81.71.5.0,Amsterdam,North Holland,Netherlands,52.3798,4.88814
120.242.170.0,Shenzhen,Guangdong,China,22.5431,114.058
36.7.52.0,Suzhou,Anhui,China,33.6375,116.9775
223.104.15.0,Shijiazhuang,Hebei,China,38.036,114.4654
117.150.252.0,Suizhou,Hubei,China,31.7111,113.3572
123.6.49.0,Zhengzhou,Henan,China,34.7472,113.625
1.84.10.0,Yintai,Shaanxi,China,35.394,109.188
183.46.90.0,Guangzhou,Guangdong,China,23.1181,113.2539
42.88.107.0,Yuzhong Chengguanzhen,Gansu,China,35.7518,104.286
117.143.161.0,Shanghai,Shanghai,China,31.2222,121.4581
124.152.129.0,Lanzhou,Gansu,China,36.0611,103.834
157.148.35.0,Shenzhen,Guangdong,China,22.5431,114.058
157.148.55.0,Shenzhen,Guangdong,China,22.5431,114.058
163.177.3.0,Xiaolou,Guangdong,China,23.379,113.763
183.47.123.0,Xiaolou,Guangdong,China,23.379,113.763
157.148.57.0,Shenzhen,Guangdong,China,22.5431,114.058
182.50.9.0,Nanjing,Jiangsu,China,32.0607,118.763
14.17.90.0,Xiaolou,Guangdong,China,23.379,113.763
157.255.14.0,Xiaolou,Guangdong,China,23.379,113.763
157.255.15.0,Xiaolou,Guangdong,China,23.379,113.763
157.148.60.0,Shenzhen,Guangdong,China,22.5431,114.058
117.135.158.0,Shenzhen,Guangdong,China,22.5431,114.058
117.131.29.0,Shanghai,Shanghai,China,31.2222,121.4581
157.255.7.0,Xiaolou,Guangdong,China,23.379,113.763
111.122.72.0,Guiyang,Guizhou,China,26.6477,106.63
39.144.55.0,Dalian,Liaoning,China,38.9384,121.6224
52.80.105.0,Beijing,Beijing,China,39.9288,116.3889
54.223.253.0,Beijing,Beijing,China,39.9288,116.3889
117.189.50.0,Shenzhen,Guangdong,China,22.5431,114.058
54.222.204.0,Beijing,Beijing,China,39.9288,116.3889
112.96.195.0,Guangzhou,Guangdong,China,23.1181,113.2539
116.21.130.0,Guangzhou,Guangdong,China,23.1181,113.2539
111.52.109.0,Taiyuan,Shanxi,China,37.8706,112.549
175.169.76.0,Shenyang,Liaoning,China,41.7806,123.4314
27.45.50.0,Jiangmen,Guangdong,China,22.5847,113.0807
39.144.95.0,Qianfeng,Shanxi,China,37.8494,112.521
61.166.239.0,Jianshui,Yunnan,China,24.4753,101.343
223.104.42.0,Beijing,Beijing,China,39.911,116.395
52.80.163.0,Beijing,Beijing,China,39.9288,116.3889
140.179.41.0,Beijing,Beijing,China,39.9288,116.3889
52.81.223.0,Beijing,Beijing,China,39.9288,116.3889
54.223.235.0,Beijing,Beijing,China,39.9288,116.3889
54.223.83.0,Beijing,Beijing,China,39.9288,116.3889
124.160.215.0,Hangzhou,Zhejiang,China,30.2994,120.1612
223.101.171.0,Shenyang,Liaoning,China,41.8057,123.431
112.47.239.0,Shenzhen,Guangdong,China,22.5559,114.0577
39.144.69.0,Shenzhen,Guangdong,China,22.5431,114.058
111.29.80.0,Haikou,Hainan,China,20.0473,110.3715
120.84.10.0,Guangzhou,Guangdong,China,23.1181,113.2539
120.243.65.0,Shenzhen,Guangdong,China,22.5431,114.058
106.117.228.0,Tangshan,Hebei,China,39.6333,118.1852
112.96.109.0,Guangzhou,Guangdong,China,23.1181,113.2539
223.155.160.0,Shaoyang,Hunan,China,27.2416,111.4656
61.54.209.0,Zhengzhou,Henan,China,34.7472,113.625
125.43.196.0,Zhengzhou,Henan,China,34.7472,113.625
110.229.42.0,Baoding,Hebei,China,38.8511,115.4879
42.89.42.0,Yuzhong Chengguanzhen,Gansu,China,35.7518,104.286
116.16.105.0,Xiaolou,Guangdong,China,23.379,113.763
193.112.153.0,Haidian,Beijing,China,39.9786,116.302
117.183.7.0,Shenzhen,Guangdong,China,22.5431,114.058
36.34.135.0,Hefei,Anhui,China,31.8206,117.227
140.179.25.0,Beijing,Beijing,China,39.9288,116.3889
52.81.126.0,Beijing,Beijing,China,39.9288,116.3889
52.80.209.0,Beijing,Beijing,China,39.9288,116.3889
140.179.20.0,Beijing,Beijing,China,39.9288,116.3889
112.236.100.0,Weifang,Shandong,China,36.7069,119.162
52.81.3.0,Beijing,Beijing,China,39.9288,116.3889
54.223.144.0,Beijing,Beijing,China,39.9288,116.3889
54.223.224.0,Beijing,Beijing,China,39.9288,116.3889
159.75.163.0,Haidian,Beijing,China,39.9786,116.302
54.222.192.0,Beijing,Beijing,China,39.9288,116.3889
218.93.69.0,Nanjing,Jiangsu,China,32.0607,118.763
39.144.154.0,Changzhou,Jiangsu,China,31.7736,119.954
49.234.25.0,Shanghai,Shanghai,China,31.2304,121.474
49.234.35.0,Shanghai,Shanghai,China,31.2304,121.474
175.178.136.0,Beijing,Beijing,China,39.9042,116.407
49.234.3.0,Shanghai,Shanghai,China,31.2304,121.474
175.24.211.0,Shanghai,Shanghai,China,31.2304,121.474
59.36.81.0,Shenzhen,Guangdong,China,22.5559,114.0577
112.17.235.0,Wenzhou,Zhejiang,China,28.0002,120.6547
120.26.215.0,Hangzhou,Zhejiang,China,30.2994,120.1612
118.31.69.0,Hangzhou,Zhejiang,China,30.2994,120.1612
120.55.61.0,Hangzhou,Zhejiang,China,30.2994,120.1612
116.62.179.0,Hangzhou,Zhejiang,China,30.2994,120.1612
183.198.93.0,Shanghai,Shanghai,China,31.2304,121.474
113.78.174.0,Dongguan,Guangdong,China,23.0177,113.7506
117.136.32.0,Guangzhou,Guangdong,China,23.1181,113.2539
183.46.123.0,Guangzhou,Guangdong,China,23.1181,113.2539
223.104.61.0,Guangzhou,Guangdong,China,23.1181,113.2539
129.211.166.0,Haidian,Beijing,China,39.9786,116.302
120.231.180.0,Guangzhou,Guangdong,China,23.1181,113.2539
117.61.30.0,Nanjing,Jiangsu,China,32.0607,118.763
117.136.38.0,Beijing,Beijing,China,39.911,116.395
175.24.214.0,Shanghai,Shanghai,China,31.2304,121.474
117.87.152.0,Xuzhou,Jiangsu,China,34.1823,117.1519
180.98.33.0,Nanjing,Jiangsu,China,32.0607,118.763
182.117.206.0,Zhengzhou,Henan,China,34.7472,113.625
219.151.146.0,Chongqing,Chongqing,China,29.5689,106.5577
223.244.246.0,Rongcheng,Anhui,China,30.6007,117.925
112.85.212.0,Nanjing,Jiangsu,China,32.0128,118.727
117.8.143.0,Tianjin,Tianjin,China,39.3434,117.362
120.40.215.0,Guangzhou,Guangdong,China,23.1181,113.2539
27.157.129.0,Sanming,Fujian,China,26.2634,117.639
153.36.15.0,Suzhou,Jiangsu,China,31.299,120.585
42.6.20.0,Beijing,Beijing,China,39.911,116.395
39.144.168.0,Taohua,Jiangxi,China,28.6534,115.873
175.148.70.0,Shenyang,Liaoning,China,41.8057,123.431
119.108.61.0,Shenyang,Liaoning,China,41.8057,123.431
223.12.225.0,Taiyuan,Shanxi,China,37.7953,112.567
180.98.9.0,Nantong,Jiangsu,China,32.0264,120.8647
182.118.236.0,Zhengzhou,Henan,China,34.7472,113.625
116.176.186.0,Beijing,Beijing,China,39.911,116.395
112.97.86.0,Huizhou,Guangdong,China,23.1072,114.3997
123.115.48.0,Beijing,Beijing,China,39.911,116.395
223.104.38.0,Beijing,Beijing,China,39.911,116.395
140.240.16.0,Haikou,Hainan,China,20.0473,110.3715
180.163.29.0,Shanghai,Shanghai,China,31.2304,121.474
39.144.248.0,Xiamen,Fujian,China,24.4793,118.0673
121.206.142.0,Sanming,Fujian,China,26.2634,117.639
183.13.190.0,Xiaolou,Guangdong,China,23.379,113.763
49.234.27.0,Shanghai,Shanghai,China,31.2304,121.474
54.222.136.0,Beijing,Beijing,China,39.9288,116.3889
52.81.221.0,Beijing,Beijing,China,39.9288,116.3889
54.222.152.0,Beijing,Beijing,China,39.9288,116.3889
140.179.12.0,Beijing,Beijing,China,39.9288,116.3889
114.230.186.0,Yangzhou,Jiangsu,China,32.4204,119.4252
39.144.34.0,Shanghai,Shanghai,China,31.2222,121.4581
121.233.210.0,Nanjing,Jiangsu,China,32.0607,118.763
112.102.37.0,Harbin,Heilongjiang,China,45.7787,126.5975
111.58.68.0,Shenzhen,Guangdong,China,22.5431,114.058
175.24.213.0,Shenzhen,Guangdong,China,22.5431,114.058
115.60.42.0,Zhengzhou,Henan,China,34.7599,113.6459
120.219.170.0,Zhengzhou,Henan,China,34.7472,113.625
116.11.214.0,Lilancun,Guangxi,China,23.7248,108.808
58.244.48.0,Jilin City,Jilin,China,43.8378,126.549
111.172.201.0,Wuhan,Hubei,China,30.589,114.2681
117.30.120.0,Xiamen,Fujian,China,24.4793,118.0673
60.15.135.0,Harbin,Heilongjiang,China,45.7567,126.642
112.1.213.0,Suzhou,Jiangsu,China,31.3093,120.602
58.244.147.0,Jilin City,Jilin,China,43.8378,126.549
123.113.189.0,Beijing,Beijing,China,39.911,116.395
111.40.155.0,Harbin,Heilongjiang,China,45.7567,126.642
112.224.166.0,Qingdao,Shandong,China,36.061,120.3814
183.217.99.0,Nanchang,Jiangxi,China,28.6796,115.8655
39.144.25.0,Zhengzhou,Henan,China,34.7599,113.6459
183.211.135.0,Suzhou,Jiangsu,China,31.299,120.585
54.222.181.0,Beijing,Beijing,China,39.9288,116.3889
52.81.7.0,Beijing,Beijing,China,39.9288,116.3889
52.81.144.0,Beijing,Beijing,China,39.9288,116.3889
54.223.147.0,Beijing,Beijing,China,39.9288,116.3889
54.223.4.0,Beijing,Beijing,China,39.9288,116.3889
120.235.229.0,Guangzhou,Guangdong,China,23.1181,113.2539
117.136.46.0,Shanghai,Shanghai,China,31.2222,121.4581
112.20.96.0,Suzhou,Jiangsu,China,31.3093,120.602
36.161.190.0,Tongling,Anhui,China,30.9478,117.7873
112.84.114.0,Nanjing,Jiangsu,China,32.0128,118.727
122.194.141.0,Jiuli,Jiangsu,China,34.2506,117.186
27.150.91.0,Sanming,Fujian,China,26.2634,117.639
36.56.100.0,Lu'an,Anhui,China,31.7279,116.5157
